Area,Data Collection Year,soil group,Land class,knit (surface),pH,SOC (%),Nitrogen N (%),Potassium K (meq/100),Phosphorus P (ug/g),Sulfur S (ug/g),Boron B (ug/g),Zinc Zn (ug/g)
Mithpukur,2005,Gangachara,Medium high land,loam,5.3,2.73,0.16,0.06,4,20.3,0.32,0.65
Mithpukur,2005,Gangachara,Medium high land,loam,5.2,2.04,0.15,0.16,13.6,17.5,0.26,0.65
Mithpukur,2005,Gangachara,Medium high land,loam,5.2,1.76,0.11,0.12,33.6,10.5,0.32,0.44
Mithpukur,2005,Gangachara,Medium high land,loam,5.1,2.22,0.11,0.27,34,15.4,0.34,0.55
Mithpukur,2005,Gangachara,Medium high land,loam,5.4,1.73,0.11,0.16,8.2,10.9,0.28,0.38
Mithpukur,2005,Gangachara,Medium high land,loam,5.4,1.78,0.09,0.12,5,11.6,0.3,0.61
Mithpukur,2005,Gangachara,Medium high land,loam,5.6,1.66,0.09,0.06,9,12.3,0.28,0.52
Mithpukur,2005,Gangachara,Medium high land,loam,5.6,1.55,0.09,0.08,8.5,11.2,0.24,0.43
Mithpukur,2005,Kaunia,Medium high land,loam,5.4,2.5,0.14,0.07,17,35.7,0.49,0.67
Mithpukur,2005,Kaunia,Medium high land,loam,5.3,2.79,0.09,0.15,7,28.4,0.38,1.54
Mithpukur,2005,Kaunia,Medium high land,loam,5.1,2.42,0.16,0.1,6.6,16.1,0.41,0.85
Mithpukur,2005,Kaunia,Medium high land,loam,5,2.58,0.15,0.11,4.3,17.2,0.34,0.46
Mithpukur,2005,Kaunia,Medium high land,loam,5.2,2.27,0.12,0.1,37.8,18.9,0.36,0.94
Mithpukur,2005,Kaunia,Medium high land,loam,5.2,3.05,0.19,0.15,4.3,24.5,0.47,1.19
Mithpukur,2005,Kaunia,Medium high land,loam,5.5,1.77,0.11,0.2,6.1,13,0.26,0.35
Mithpukur,2005,Kaunia,Medium high land,loam,5.2,2.22,0.12,0.1,22.4,11.2,0.34,0.41
Mithpukur,2005,Kaunia,Medium high land,loam,5.1,3.95,0.22,0.12,18.7,17.5,0.49,0.88
Mithpukur,2005,Kaunia,Medium high land,loam,5.1,3.59,0.21,0.22,9.2,23.5,0.53,0.6
Mithpukur,2005,Kaunia,Medium high land,loam,5.2,2.2,0.14,0.3,8,24.5,0.43,0.41
Mithpukur,2005,Kaunia,Medium high land,loam,5.5,2.85,0.16,0.3,4.2,19.3,0.36,0.64
Mithpukur,2005,Imadpur ,Medium low land,loam,5.7,2.87,0.16,0.16,7.8,17.9,0.34,0.64
Mithpukur,2005,Alluvial soil of Teesta,Medium high land,loam,5.5,1.13,0.07,0.1,10.5,15.1,0.26,0.44
Mithpukur,2005,Teesta sandy soil,Medium high land,in the sand,5,0.96,0.07,0.13,15.9,9.5,0.22,0.6
Mithpukur,2005,Gangachara,Medium high land,in the sand,5.6,0.59,0.04,0.15,23,21.4,0.24,0.27
Mithpukur,2005,Kachna ,Medium high land,Clay loam ,6.1,2.37,0.14,0.17,6.2,14.7,0.32,0.18
