Area,soil group,Land class,knit (surface),pH,SOC (%),Nitrogen N (%),Potassium K (meq/100),Phosphorus P (ug/g),Sulfur S (ug/g),Boron B (ug/g),Zinc Zn (ug/g)
Mithpukur,Gangachara,Medium high land,loam,5.20,2.64,0.13,0.09,7.2,25.4,0.43,0.35
Mithpukur,Gangachara,Medium high land,loam,5.40,1.85,0.11,0.12,8.6,13.8,0.45,0.57
Mithpukur,Gangachara,Medium high land,loam,5.90,1.30,0.07,0.26,21.7,27.5,0.32,0.21
Mithpukur,Gangachara,Medium high land,loam,5.20,2.56,0.15,0.07,6.9,18.5,0.51,0.33
Mithpukur,Gangachara,Medium high land,loam,5.30,2.55,0.14,0.18,4.3,16.3,0.53,0.75
Mithpukur,Gangachara,Medium high land,loam,5.50,1.77,0.10,0.06,5.0,10.7,0.40,0.39
Mithpukur,Gangachara,Medium high land,loam,5.10,1.78,0.10,0.08,47.7,12.0,0.63,0.26
Mithpukur,Gangachara,Medium high land,loam,5.70,1.79,0.11,0.09,4.4,9.8,0.22,0.17
Mithpukur,Gangachara,Medium high land,loam,5.30,1.63,0.11,0.06,14.5,7.0,0.17,0.13
Mithpukur,Gangachara,Medium high land,loam,4.90,1.74,0.11,0.10,13.2,10.5,0.28,0.63
Mithpukur,Gangachara,Medium high land,loam,5.20,2.26,0.13,0.10,8.9,16.5,0.30,0.56
Mithpukur,Gangachara,Medium high land,loam,5.70,1.89,0.11,0.12,9.8,9.8,0.15,0.43
Mithpukur,Gangachara,Medium high land,loam,5.30,2.70,0.16,0.07,7.8,28.7,0.36,0.77
Mithpukur,Gangachara,Medium high land,loam,5.30,1.70,0.11,0.18,4.2,17.2,0.30,0.44
Mithpukur,Gangachara,Medium high land,loam,5.40,2.01,0.11,0.07,4.6,10.9,0.42,0.45
Mithpukur,Gangachara,Medium high land,loam,5.30,2.19,0.11,0.05,7.3,16.5,0.26,0.45
Mithpukur,Gangachara,Medium high land,loam,5.30,2.73,0.16,0.06,4.0,20.3,0.32,0.65
Mithpukur,Gangachara,Medium high land,loam,5.20,2.04,0.15,0.16,13.6,17.5,0.26,0.65
Mithpukur,Gangachara,Medium high land,loam,5.20,1.76,0.11,0.12,33.6,10.5,0.32,0.44
Mithpukur,Gangachara,Medium high land,loam,5.10,2.22,0.11,0.27,34.0,15.4,0.34,0.55
Mithpukur,Gangachara,Medium high land,loam,5.40,1.73,0.11,0.16,8.2,10.9,0.28,0.38
Mithpukur,Gangachara,Medium high land,loam,5.40,1.78,0.09,0.12,5.0,11.6,0.30,0.61
Mithpukur,Gangachara,Medium high land,loam,5.60,1.66,0.09,0.06,9.0,12.3,0.28,0.52
Mithpukur,Gangachara,Medium high land,loam,5.60,1.55,0.09,0.08,8.5,11.2,0.24,0.43
Mithpukur,Kaunia,Medium high land,loam,5.40,2.50,0.14,0.07,17.0,35.7,0.49,0.67
Mithpukur,Kaunia,Medium high land,loam,5.30,2.79,0.09,0.15,7.0,28.4,0.38,1.54
Mithpukur,Kaunia,Medium high land,loam,5.10,2.42,0.16,0.10,6.6,16.1,0.41,0.85
Mithpukur,Kaunia,Medium high land,loam,5.00,2.58,0.15,0.11,4.3,17.2,0.34,0.46
Mithpukur,Kaunia,Medium high land,loam,5.20,2.27,0.12,0.10,37.8,18.9,0.36,0.94
Mithpukur,Kaunia,Medium high land,loam,5.20,3.05,0.19,0.15,4.3,24.5,0.47,1.19
Mithpukur,Kaunia,Medium high land,loam,5.50,1.77,0.11,0.20,6.1,13.0,0.26,0.35
Mithpukur,Kaunia,Medium high land,loam,5.20,2.22,0.12,0.10,22.4,11.2,0.34,0.41
Mithpukur,Kaunia,Medium high land,loam,5.10,3.95,0.22,0.12,18.7,17.5,0.49,0.88
Mithpukur,Kaunia,Medium high land,loam,5.10,3.59,0.21,0.22,9.2,23.5,0.53,0.60
Mithpukur,Kaunia,Medium high land,loam,5.20,2.20,0.14,0.30,8.0,24.5,0.43,0.41
Mithpukur,Kaunia,Medium high land,loam,5.50,2.85,0.16,0.30,4.2,19.3,0.36,0.64
Mithpukur,Imadpur ,Medium low land,loam,5.70,2.87,0.16,0.16,7.8,17.9,0.34,0.64
Mithpukur,Alluvial soil of Teesta,Medium high land,loam,5.50,1.13,0.07,0.10,10.5,15.1,0.26,0.44
Mithpukur,Teesta sandy soil,Medium high land,in the sand,5.00,0.96,0.07,0.13,15.9,9.5,0.22,0.60
Mithpukur,Gangachara,Medium high land,in the sand,5.60,0.59,0.04,0.15,23.0,21.4,0.24,0.27
Mithpukur,Kachna ,Medium high land,Clay loam ,6.10,2.37,0.14,0.17,6.2,14.7,0.32,0.18
Mithpukur,Kachna ,Medium low land,Clay loam ,5.20,3.66,0.21,0.07,5.0,27.3,0.49,0.50
Mithpukur,Kachna ,Medium low land,Clay loam ,5.40,2.34,0.14,0.23,7.0,14.0,0.43,0.57
Pirgacha ,Pirgacha,high ground,loam,4.2,1.53,0.08,0.18,95.0,3.8,0.23,1.11
Pirgacha ,Pirgacha,high ground,loam,4.6,1.65,0.10,0.28,39.5,11.7,0.21,2.20
Pirgacha ,Pirgacha,high ground,loam,4.6,20.4,0.11,0.30,46.4,31.4,0.43,3.00
Pirgacha ,Pirgacha,high ground,loam,4.8,1.39,0.06,0.44,62.9,4.0,0.31,1.76
Pirgacha ,Palashbari,high ground,loam,4.7,1.38,0.11,0.52,18.3,6.4,0.32,0.73
Pirgacha ,Palashbari,high ground,loam,5.2,1.66,0.09,0.30,85.2,2.5,0.31,1.14
Pirgacha ,Palashbari,high ground,loam,4.6,1.76,0.11,0.23,168.4,6.3,0.20,1.13
Pirgacha ,Palashbari,high ground,loam,5.4,1.22,0.08,0.31,50.3,7.2,0.23,0.88
Pirgacha ,Palashbari,high ground,loam,4.7,1.50,0.09,0.22,40.8,11.6,0.27,0.79
Pirgacha ,Palashbari,high ground,loam,5.1,2.02,0.09,0.33,58.8,7.7,0.25,2.95
Pirgacha ,Palashbari,high ground,loam,5.2,1.58,0.09,0.28,77.6,11.9,0.30,1.66
Pirgacha ,Palashbari,high ground,loam,5.4,1.74,0.11,0.61,47.2,13.2,0.34,1.05
Pirgacha ,Berries,high ground,loam,5.3,1.61,0.11,0.16,72.8,14.4,0.23,0.91
Pirgacha ,Berries,high ground,loam,5.5,1.82,0.11,0.21,22.6,41.2,0.36,1.23
Pirgacha ,Berries,high ground,loam,5.6,1.30,0.11,0.21,47.3,24.5,0.20,1.11
Pirgacha ,Gangachara,high ground,loam,5.1,2.34,0.09,0.20,27.7,8.3,0.30,1.76
Pirgacha ,Gangachara,high ground,loam,5.4,2.66,0.10,0.27,21.9,7.6,0.32,0.96
Pirgacha ,Gangachara,high ground,loam,4.9,2.0,0.09,0.11,12.9,6.1,0.22,0.73
Pirgacha ,Gangachara,high ground,loam,4.7,2.18,0.10,0.09,14.3,15.3,0.28,0.80
Pirgacha ,Gangachara,high ground,loam,4.7,1.81,0.14,0.11,46.2,13.8,0.40,1.31
Pirgacha ,Gangachara,high ground,loam,5.1,2.28,0.10,0.25,22.4,14.8,0.30,0.68
Pirgacha ,Gangachara,high ground,loam,4.8,1.59,0.05,0.21,36.5,8.1,0.30,1.06
Pirgacha ,Gangachara,high ground,loam,4.8,2.71,0.09,0.40,10.4,35.7,0.30,0.97
Pirgacha ,Gangachara,high ground,loam,5.2,1.42,0.09,0.10,6.8,9.1,0.32,0.85
Pirgacha ,Gangachara,high ground,loam,5.0,1.74,0.11,0.34,25.8,46.1,0.26,0.76
Pirgacha ,Gangachara,high ground,loam,4.7,1.73,0.12,0.15,21.2,3.2,0.32,1.36
Pirgacha ,Gangachara,high ground,loam,4.8,1.27,0.112,0.14,18.7,3.7,0.34,1.40
Pirgacha ,Gangachara,high ground,loam,5.0,2.06,0.10,0.12,6.5,17.6,0.31,1.51
Pirgacha ,Gangachara,high ground,loam,5.3,2.47,0.10,0.07,6.3,12.6,0.30,0.78
Pirgacha ,Gangachara,high ground,loam,4.8,1.59,0.10,0.67,32.1,13.6,0.32,1.03
Pirgacha ,Gangachara,high ground,loam,5.4,2.31,0.09,0.13,32.5,16.3,0.23,2.24
Pirgacha ,Gangachara,high ground,loam,5.0,1.35,0.10,0.10,8.9,11.7,0.26,1.60
Pirgacha ,Gangachara,high ground,loam,5.1,2.10,0.09,0.09,3.8,10.3,0.20,0.77
